analysis_id,93p51q4573916af
pvalue,0.6428464
mouse_strain,C57BL
gene_accession_id,MGI:2442483
parameter_id,JAXLA_CSD_077_001
mouse_life_stage,Early adult
parameter_name,Contact righting
gene_symbol,Usp37
