gene_symbol,Trp53rkb
mouse_strain,C57BL
analysis_id,r6klc97603169jx
parameter_id,MGP_IMM_078_001
mouse_life_stage,Early adult
parameter_name,Resting Treg cells - % of CD45+
pvalue,0.9798398
gene_accession_id,MGI:1914050
