mouse_strain,C57BL
parameter_name,cDCs CD11b Type
mouse_life_stage,Early adult
gene_symbol,Slc28a2
pvalue,0.8692685
parameter_id,IMPC_IMM_073_001
analysis_id,52e24c185lm7t48
gene_accession_id,MGI:1913105
