analysis_id,352w0s62uw21o4n
mouse_life_stage,Early adult
parameter_id,MGP_IMM_089_001
pvalue,0.2751932
mouse_strain,C57BL
gene_symbol,Ints7
parameter_name,KLRG1+ gd T cells - % of CD45+
gene_accession_id,MGI:1924315
