parameter_name,Aggression
analysis_id,8r5hwkxb7m1uzv6
pvalue,0.1172024
parameter_id,IMPC_CSD_079_001
gene_symbol,Lpgat1
mouse_life_stage,Middle aged adult
gene_accession_id,MGI:2446186
mouse_strain,C57BL
