parameter_id,JAX_PLC_002_001
pvalue,0.4550619
mouse_life_stage,E15.5
gene_symbol,Bmi1
gene_accession_id,MGI:88174
parameter_name,HDL cholesterol
analysis_id,23l8l2s294n4p59
mouse_strain,C57BL
