gene_symbol,Orc2
parameter_id,MGP_PBI_030_001
parameter_name,CD8+ CD44+ CD62L- alpha beta effector T cell number
pvalue,0.2208859
analysis_id,6p6623765k913po
mouse_strain,C57BL
gene_accession_id,MGI:1328306
mouse_life_stage,E9.5
