gene_symbol,Il1r1
analysis_id,9hicetxc22h4jt8
pvalue,0.6513895
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_accession_id,MGI:96545
parameter_name,Fat/Body weight
parameter_id,IMPC_DXA_009_001
