gene_symbol,Opn3
gene_accession_id,MGI:1338022
mouse_life_stage,Early adult
analysis_id,514c88667z51y8i
parameter_name,NKT cells (panel A) - % of live leukocytes (Panel A)
mouse_strain,C57BL
parameter_id,IMPC_IMM_004_002
pvalue,0.9142336
