gene_symbol,Rnf114
mouse_life_stage,Early adult
pvalue,0.253271
analysis_id,8gum667q81e9965
gene_accession_id,MGI:1933159
mouse_strain,C57BL
parameter_name,Neural tube morphology
parameter_id,IMPC_GEL_060_001
