analysis_id,934mpuqbw7226tj
parameter_id,MGP_PBI_009_001
parameter_name,CD4+ CD44+ CD62L- alpha beta effector T cell percentage
pvalue,0.8002526
gene_symbol,Slc39a10
mouse_strain,C57BL
gene_accession_id,MGI:1914515
mouse_life_stage,Early adult
