analysis_id,8xjj9w9sub3ehq1
parameter_id,IMPC_CBC_010_001
mouse_life_stage,Early adult
gene_symbol,Psmd14
parameter_name,Phosphorus
mouse_strain,C57BL
gene_accession_id,MGI:1913284
pvalue,0.7233332
