analysis_id,3e70kj64k9298qr
mouse_strain,C57BL
parameter_id,IMPC_GEL_029_001
pvalue,0.2934809
gene_accession_id,MGI:88479
gene_symbol,Cpa3
parameter_name,Midbrain
mouse_life_stage,Early adult
