parameter_name,Respiration Rate
parameter_id,IMPC_ECH_018_001
pvalue,0.945744
analysis_id,0t8271k6no6sr54
gene_symbol,Tox
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_accession_id,MGI:2181659
