gene_symbol,Dnaaf9
parameter_name,6kHz-evoked ABR Threshold
mouse_life_stage,Early adult
gene_accession_id,MGI:1923029
analysis_id,072xcjpq88d2rri
mouse_strain,C57BL
parameter_id,IMPC_ABR_004_001
pvalue,0.4686868
