parameter_name,Corneal vascularization
gene_accession_id,MGI:105073
gene_symbol,Tnni1
analysis_id,p811w03w9611c9f
mouse_life_stage,Early adult
parameter_id,IMPC_EYE_009_001
mouse_strain,C57BL
pvalue,0.878508
