analysis_id,1147d4btx91b284
parameter_name,Percentage center time
pvalue,0.6247269
parameter_id,JAX_OFD_022_001
gene_accession_id,MGI:1915087
mouse_strain,C57BL
gene_symbol,Tiprl
mouse_life_stage,E9.5
