parameter_name,DN CD25- NKT cells
gene_accession_id,MGI:95835
gene_symbol,Hspa5
analysis_id,6zf835v5502w9lj
mouse_life_stage,E12.5
mouse_strain,C57BL
parameter_id,IMPC_IMM_025_001
pvalue,0.5596496
