parameter_name,Glucose response AUC
parameter_id,ESLIM_004_001_701
pvalue,0.9875489
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_accession_id,MGI:99501
gene_symbol,Fgb
analysis_id,205wjc1x28u6j84
