analysis_id,05p2684dyuux4r7
pvalue,0.7210388
parameter_id,ESLIM_014_001_008
parameter_name,Cornea vascularisation
mouse_life_stage,Early adult
gene_accession_id,MGI:1917604
gene_symbol,Secisbp2l
mouse_strain,C57BL
