analysis_id,41zcnpx3j4nm646
gene_symbol,Rab22a
Gene_accession_id,MGI:105072
Mouse_life_stage,Early adult
Parameter_id,IMPC_CSD_036_001
Pvalue,0.2474221
mouse_strain,C57BL
parameter_name,Startle response
