parameter_name,Whole arena average speed
mouse_strain,C57BL
analysis_id,xy08ju7a2cxq1sp
gene_symbol,Cds2
pvalue,0.123793
parameter_id,JAX_OFD_009_001
gene_accession_id,MGI:1332236
mouse_life_stage,Early adult
