gene_symbol,DCAF10
mouse_life_stage,Early adult
pvalue,0.1784529
parameter_id,IMPC_GEO_048_002
parameter_name,Anophthalmia
analysis_id,f2mtf49db053363
mouse_strain,C57BL
gene_accession_id,MGI:2140179
