parameter_name,Basophil cell count
mouse_strain,C57BL
analysis_id,qo55nryjnh5h2yx
mouse_life_stage,Early adult
parameter_id,IMPC_HEM_037_001
gene_accession_id,MGI:1927379
pvalue,0.1301003
gene_symbol,Rhbg
