parameter_id,JAX_ROT_002_001
mouse_life_stage,Early adult
pvalue,0.3516205
gene_accession_id,MGI:1924054
analysis_id,3m85a72ef5fobi7
mouse_strain,C57BL
parameter_name,Average duration
gene_symbol,Kdm4c
