analysis_id,50rpp778ocgbk02
gene_accession_id,MGI:99501
parameter_name,Narrow eye opening
gene_symbol,Fgb
parameter_id,IMPC_EYE_006_001
pvalue,0.5655287
mouse_strain,C57BL
mouse_life_stage,E15.5
