analysis_id,1k09446t4yo90w1
gene_accession_id,MGI:1918345
gene_symbol,Kif24
mouse_life_stage,Early adult
parameter_id,IMPC_OFD_012_001
pvalue,0.3513678
parameter_name,Periphery permanence time
mouse_strain,C57BL
