analysis_id,ah17l3hu6m6e6y7
pvalue,0
parameter_id,IMPC_HEM_008_001
gene_symbol,Steap3
parameter_name,Platelet count
gene_accession_id,MGI:1915678
mouse_strain,C57BL
mouse_life_stage,Early adult
