analysis_id,3vj85qjspee816a
gene_symbol,Atf3
mouse_life_stage,Early adult
pvalue,0.4451802
parameter_name,Effector CD4+ T helper cells - % of CD45+
gene_accession_id,MGI:109384
parameter_id,MGP_IMM_073_001
mouse_strain,C57BL
