gene_symbol,Slx4ip
mouse_life_stage,Early adult
parameter_id,HMGULA_SHI_009_001
parameter_name,Startle response
analysis_id,7awm076tftrfep4
pvalue,0.5252684
gene_accession_id,MGI:1921493
mouse_strain,C57BL
