analysis_id,4ey6xs393134r01
parameter_id,IMPC_EYE_092_002
parameter_name,Retina (combined)
pvalue,0.3364275
mouse_life_stage,E9.5
mouse_strain,C57BL
gene_symbol,Cdin1
gene_accession_id,MGI:3026886
