analysis_id,halx58330es9yu4
parameter_id,IMPC_EYE_026_001
mouse_life_stage,Early adult
mouse_strain,C57BL
pvalue,0.3454229
gene_accession_id,MGI:95576
gene_symbol,Fpgs
parameter_name,Retinal Blood Vessels Pattern
