gene_symbol,Sema6c
pvalue,0.5205978
mouse_strain,C57BL
parameter_id,MGP_MLN_074_001
gene_accession_id,MGI:1338032
parameter_name,Effector CD8+ T cells - % of CD45+
analysis_id,11sjr3u49x493h9
mouse_life_stage,Early adult
