mouse_strain,B6J
analysis_id,u96of88k9668trm
parameter_id,IMPC_HEM_031_001
mouse_life_stage,Early adult
parameter_name,Lymphocyte differential count
gene_symbol,Nr0b2
pvalue,0.427232
gene_accession_id,MGI:1346344
