gene_symbol,Car13
analysis_id,965nknt7h93bn8z
mouse_life_stage,Early adult
parameter_name,NK cells (Panel A) - % of live leukocytes (Panel A)
parameter_id,IMPC_IMM_005_002
mouse_strain,C57BL
gene_accession_id,MGI:1931322
pvalue,0.3337808
