analysis_id,pb66496l56w2lm3
gene_accession_id,MGI:2685277
mouse_life_stage,E18.5
mouse_strain,C57BL
gene_symbol,Zyg11b
parameter_id,IMPC_FEA_106_001
pvalue,0.6839382
parameter_name,Difference in Cue Tone and Cue Baseline % Freezing
