gene_symbol,Ap5s1
pvalue,0.1611784
parameter_id,IMPC_HEM_030_001
gene_accession_id,MGI:1916846
mouse_strain,C57BL
mouse_life_stage,Early adult
analysis_id,bnflse2qi00m59f
parameter_name,Neutrophil cell count
