gene_symbol,AU040320
parameter_name,Alkaline phosphatase
analysis_id,v94od44dd0994j8
mouse_strain,C56BL
pvalue,0.1368019
gene_accession_id,MGI:2140475
mouse_life_stage,Early adult
parameter_id,IMPC_CBC_014_001
