analysis_id,v83p0y81594c3r3
parameter_name,BMC/Body weight
pvalue,0.3333812
gene_symbol,Mapkap1
parameter_id,IMPC_DXA_007_001
gene_accession_id,MGI:2444554
mouse_life_stage,E15.5
mouse_strain,C57BL
