gene_symbol,Eprs1
parameter_id,MGP_PBI_031_001
gene_accession_id,MGI:97838
parameter_name,KLRG1+ mature NK cell number
mouse_strain,C57BL
mouse_life_stage,E12.5
analysis_id,e0b8n5d76b92h84
pvalue,0.1827126
