gene_symbol,Pum1
analysis_id,0r979f851293ksz
pvalue,0.5717187
mouse_life_stage,Early adult
parameter_name,DN CD44+CD62L- NKT cells
parameter_id,IMPC_IMM_046_001
gene_accession_id,MGI:1931749
mouse_strain,C57BL
