parameter_name,center - resting time
mouse_strain,C57BL
pvalue,0.6011072
gene_accession_id,MGI:1914515
mouse_life_stage,Early adult
analysis_id,9kud5r7cced2008
parameter_id,M-G-P_007_001_011
gene_symbol,Slc39a10
