gene_symbol,Duoxa2
parameter_name,Lumbar processes
mouse_strain,C57BL
parameter_id,IMPC_XRY_065_001
analysis_id,7m76tej0gzq9552
pvalue,3.154559e-37
mouse_life_stage,Early adult
gene_accession_id,MGI:1914061
