parameter_id,IMPC_XRY_007_001
mouse_strain,C57BL
mouse_life_stage,Late adult
gene_symbol,Slc30a4
parameter_name,Clavicle
pvalue,0.1221499
gene_accession_id,MGI:1345282
analysis_id,e52m0ybwxw72s35
