gene_symbol,SNAP23
gene_accession_id,MGI:109356
mouse_life_stage,Middle aged adult
mouse_strain,C57BL
pvalue,0.59399
analysis_id,69f305e7e3vu381
parameter_id,M-G-P_007_001_011
parameter_name,center - resting time
