parameter_id,CCP_LFO_001_001
pvalue,0.4287843
analysis_id,v24mb5ltme3v2ly
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_name,Weight
gene_symbol,Morn5
gene_accession_id,MGI:1922745
