gene_symbol,Dcaf10
mouse_life_stage,Early adult
mouse_strain,C57BL
analysis_id,55m6c27syn3su7h
parameter_name,Resting CD8+ T cells - % of CD8+
parameter_id,MGP_IMM_015_001
gene_accession_id,MGI:2140179
pvalue,0.6728628
