analysis_id,9y5ad5nsy7pg8nn
parameter_name,Mature B cells (Hardy fraction F) - % of CD45+
gene_accession_id,MGI:1915472
mouse_life_stage,Early adult
gene_symbol,Tubb4b
parameter_id,MGP_BMI_014_001
pvalue,0.9961365
mouse_strain,C57BL
