analysis_id,ara886222u46e3n
gene_symbol,Bcs1l
parameter_id,JAX_OFD_009_001
mouse_life_stage,E9.5
parameter_name,Whole arena average speed
pvalue,0.3773143
mouse_strain,C57BL
gene_accession_id,MGI:1914071
