analysis_id,2gpgp4pfe7un48i
mouse_life_stage,Early adult
gene_accession_id,MGI:104848
pvalue,0.8966498
parameter_id,ICS_FEA_019_001
parameter_name,% Freezing duration pre-cue-2
gene_symbol,Inpp1
mouse_strain,C57BL
