analysis_id,83590d51i429841
gene_accession_id,MGI:3522699
gene_symbol,Trpa1
mouse_life_stage,Early adult
pvalue,0.6906558
mouse_strain,C57BL
parameter_name,Immature B cells (Hardy fraction E) - % of B220+
parameter_id,MGP_BMI_006_001
