gene_symbol,Ap5s1
parameter_id,MGP_CSD_067_001
parameter_name,Snout size
mouse_life_stage,Early adult
gene_accession_id,MGI:1916846
pvalue,0.08129017
mouse_strain,C57BL
analysis_id,28ft6rgt2318x11
