analysis_id,bbu76s55mid0d56
gene_accession_id,MGI:1924054
pvalue,0.2062822
parameter_id,ESLIM_016_001_002
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_name,Red blood cell count
gene_symbol,Kdm4c
