parameter_name,Activity (body position)
parameter_id,IMPC_CSD_029_001
gene_symbol,Tiprl
mouse_life_stage,E12.5
analysis_id,59y9z4y2dksqw8o
mouse_strain,C52BL
pvalue,0.6330637
gene_accession_id,MGI:1915087
