gene_symbol,Tox
mouse_life_stage,Early adult
parameter_name,Resting Treg cells - % of CD45+
mouse_strain,C57BL
analysis_id,ijfcy1f5wfpc48q
gene_accession_id,MGI:2181659
pvalue,0.05220212
parameter_id,MGP_IMM_078_001
