analysis_id,i83rf1k1t1l479u
pvalue,0.6602926
gene_accession_id,MGI:1924054
mouse_strain,C57BL
gene_symbol,Kdm4c
mouse_life_stage,Early adult
parameter_name,Neutrophil percentage
parameter_id,MGP_PBI_019_001
