parameter_id,JAXLA_GRS_010_001
parameter_name,Forelimb grip strength normalised against body weight
mouse_strain,129SV
mouse_life_stage,Early adult
gene_accession_id,MGI:1918025
pvalue,0.8636181
analysis_id,yx5nl4r9248cpw7
gene_symbol,Zmynd8
