gene_symbol,Lcn2
gene_accession_id,MGI:96757
parameter_id,ESLIM_016_001_002
mouse_life_stage,Early adult
mouse_strain,C57BL
analysis_id,a7qq1vhryru9n0g
parameter_name,Red blood cell count
pvalue,0.3902389
