analysis_id,533lh18pw4wd2gf
mouse_life_stage,Early adult
parameter_name,Retina (combined)
gene_symbol,Dnajc5b
mouse_strain,C57BL
gene_accession_id,MGI:1913576
parameter_id,IMPC_EYE_092_001
pvalue,0.9398232
