analysis_id,a20g3305qc813u6
gene_symbol,Cntfr
parameter_id,MGP_MLN_032_001
mouse_life_stage,Early adult
parameter_name,Effector NK cells - % of NK cells
mouse_strain,C57BL
pvalue,0.8559509
gene_accession_id,MGI:99605
