analysis_id,px5395l6zw8b21t
parameter_name,KLRG1+ mature NK cell number
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_id,MGP_PBI_031_001
pvalue,0.8501396
gene_symbol,Rab13
gene_accession_id,MGI:1927232
