gene_symbol,Wars2
mouse_life_stage,Early adult
analysis_id,5x335j28i2mz94y
pvalue,0.5279861
parameter_id,JAXLA_HBD_001_001
gene_accession_id,MGI:1917810
parameter_name,Total holepokes
mouse_strain,C57BL
