gene_symbol,Tatdn3
analysis_id,sjoxqo6f805nmkx
gene_accession_id,MGI:1916222
pvalue,0.4183612
mouse_life_stage,Early adult
parameter_id,M-G-P_014_001_010
parameter_name,lens opacity
mouse_strain,C57BL
