parameter_id,M-G-P_016_001_005
gene_symbol,Zmynd19
parameter_name,Mean-cell-volume
mouse_life_stage,Early adult
gene_accession_id,MGI:1914437
analysis_id,rd6z8k250n694mi
mouse_strain,C57BL
pvalue,0.4815469
